Date,MinTemp,MaxTemp,Humidity,Cloud,Temp,RainToday,RainTomorrow
2/1/2008,19.5,22.4,92,8,20.7,Yes,Yes
2/2/2008,19.5,25.6,83,7,22.4,Yes,Yes
2/3/2008,21.6,24.5,88,7,23.5,Yes,Yes
2/4/2008,20.2,22.8,83,8,21.4,Yes,Yes
2/5/2008,19.7,25.7,88,8,22.5,Yes,Yes
2/6/2008,20.2,27.2,69,6,23.8,Yes,Yes
2/7/2008,18.6,26.3,75,4,21.7,Yes,Yes
2/8/2008,17.2,22.3,77,7,18.9,Yes,Yes
2/9/2008,16.4,20.8,92,7,17.1,Yes,Yes
2/10/2008,14.6,24.2,80,4,17.2,Yes,No
2/11/2008,16.4,23.9,78,7,18.9,No,No
2/12/2008,18.9,27.3,68,7,22.9,No,Yes
2/13/2008,18.4,22.8,87,8,20.9,Yes,Yes
2/14/2008,16.9,24.3,81,7,18.4,Yes,No
2/15/2008,18.3,24.4,80,7,19.5,No,No
2/16/2008,16.7,24.1,77,7,19.8,No,No
2/17/2008,19.5,24.8,63,7,21.8,No,No
2/18/2008,18.6,25.3,70,7,21.2,No,No
2/19/2008,19,24.8,79,7,20.8,No,No
2/20/2008,18.3,26.4,80,3,21.3,No,No
2/21/2008,20.6,26.8,86,7,22.1,No,No
2/22/2008,19.1,25.4,77,4,22.3,No,No
2/23/2008,20.5,26,38,1,22.5,No,No
2/24/2008,16.5,28.3,48,0,21.2,No,No
2/25/2008,20.5,24.2,58,7,21.6,No,No
2/26/2008,19.3,26.2,73,1,23,No,Yes
2/27/2008,19,29,82,7,21.3,Yes,Yes
2/28/2008,17.9,21.4,77,8,20.4,Yes,Yes
2/29/2008,14.7,20.6,65,5,17.1,Yes,No
3/1/2008,12.8,22,55,0,15.9,No,Yes
3/2/2008,14.2,23.4,93,7,15.1,Yes,No
3/3/2008,15,23.1,78,1,18.2,No,No
3/4/2008,15.5,25.4,77,0,18.7,No,No
3/5/2008,18.7,25.8,72,6,22.6,No,No
3/6/2008,19.6,26,67,1,22.1,No,No
3/7/2008,19.9,24.9,83,5,22.9,No,Yes
3/8/2008,16.5,24.8,88,1,18.8,Yes,No
3/9/2008,16.4,24.3,82,1,19.7,No,No
3/10/2008,19.3,26.3,76,1,22.9,No,No
3/11/2008,18.6,26.1,72,0,21.9,No,No
3/12/2008,19.3,26.4,77,1,22.2,No,No
3/13/2008,19.2,26.1,84,1,22.4,No,No
3/14/2008,18.8,26,84,3,21.8,No,No
3/15/2008,19.3,26.1,80,1,22.5,No,No
3/16/2008,19.7,25.8,81,2,22.8,No,No
3/17/2008,19.5,25.7,82,4,22,No,No
3/18/2008,19,26.7,73,0,22.2,No,No
3/19/2008,19.9,26.9,70,5,23.9,No,No
3/20/2008,19.7,28.1,70,2,23.5,No,No
3/21/2008,17.7,19.6,87,8,17.8,No,Yes
3/22/2008,16.9,23.2,81,7,19.6,Yes,No
3/23/2008,16.3,24.8,82,5,18.5,No,Yes
3/24/2008,18.5,24.3,95,6,19.9,Yes,No
3/25/2008,19.8,27.5,81,5,21.4,No,Yes
3/26/2008,17,27.2,76,1,20.5,Yes,No
3/27/2008,15,23.6,52,1,17.5,No,No
3/28/2008,15.2,21.7,71,4,18.3,No,No
3/29/2008,14.4,22.9,85,3,16.7,No,No
3/30/2008,13.1,26.8,61,0,16.9,No,No
3/31/2008,13.5,25.6,57,4,16.3,No,No
4/1/2008,13.7,23.9,55,1,16.7,No,No
4/2/2008,14.1,28.7,75,1,17.8,No,No
4/3/2008,16.4,22.2,42,6,16.6,No,No
4/4/2008,11.2,22.2,47,1,13.9,No,No
4/5/2008,11.6,22.7,71,0,15.2,No,No
4/6/2008,13.1,22.7,71,5,17.7,No,Yes
4/7/2008,15.3,22,83,5,18.2,Yes,Yes
4/8/2008,14.6,22.1,86,6,17,Yes,Yes
4/9/2008,15.6,22.2,96,7,16.3,Yes,Yes
4/10/2008,13.8,22.7,77,5,18.7,Yes,No
4/11/2008,14.1,23.5,83,4,17.1,No,No
4/12/2008,14,23.8,79,7,17.6,No,No
4/13/2008,15.1,22.7,81,5,17.4,No,Yes
4/14/2008,13.2,18.9,82,7,15.9,Yes,Yes
4/15/2008,13.8,19.7,85,7,15.9,Yes,Yes
4/16/2008,13.8,20.9,78,7,17.2,Yes,Yes
4/17/2008,14.9,19.7,91,7,16.4,Yes,Yes
4/18/2008,15.3,20,94,8,16.4,Yes,Yes
4/19/2008,15.9,21.4,51,6,19.3,Yes,Yes
4/20/2008,15.2,19.1,79,7,17.3,Yes,Yes
4/21/2008,14.7,19.3,91,8,16.6,Yes,Yes
4/22/2008,14.4,20.3,90,7,16.1,Yes,Yes
4/23/2008,14.7,17.9,90,7,16.2,Yes,Yes
4/24/2008,14.7,20,93,7,16.8,Yes,Yes
4/26/2008,12.7,24.8,81,2,15.6,No,No
4/27/2008,15.6,26.1,51,6,20.3,No,No
4/28/2008,11.9,16.8,46,2,13.7,No,No
4/29/2008,8.6,18.4,54,1,11.7,No,No
4/30/2008,8.4,19.6,68,1,11.6,No,No
5/1/2008,11.6,18.2,74,7,13.4,No,No
5/2/2008,10.8,22.2,65,1,14.5,No,No
5/3/2008,10.9,19.6,62,1,14.1,No,No
5/4/2008,9.4,20.3,64,1,12.4,No,No
5/5/2008,9.4,22.3,71,1,12.4,No,No
5/6/2008,11.8,23.6,74,6,13.7,No,No
5/7/2008,13,23,57,1,16.5,No,No
5/8/2008,11,21.8,63,1,14,No,No
5/9/2008,11,21.9,75,0,14.3,No,No
5/10/2008,12.6,21.3,86,1,15.2,No,No
5/11/2008,14,19.4,84,7,16.8,No,No
5/12/2008,12.4,19.5,88,1,14.9,No,No
5/13/2008,13.2,19.7,88,6,15,No,No
5/14/2008,11.2,20.6,82,1,13.8,No,No
5/15/2008,12,21.4,90,1,13.9,No,Yes
5/16/2008,13.8,23.2,78,6,15.9,Yes,No
5/17/2008,15.2,21.8,52,3,19.2,No,No
5/18/2008,8.8,17.8,57,1,11.6,No,No
5/19/2008,10.7,20.5,58,1,12.5,No,No
5/20/2008,10.3,21.7,64,1,13,No,No
5/21/2008,11.1,18.9,74,4,13.5,No,No
5/22/2008,11.9,18.7,63,1,15.1,No,No
5/23/2008,11,18.4,76,1,12.7,No,No
5/24/2008,11.4,20.1,71,1,13.3,No,No
5/25/2008,8.8,18.3,78,4,11.1,No,No
5/26/2008,10.9,21.1,81,6,12.9,No,No
5/27/2008,11.5,22.4,82,3,13.6,No,No
5/28/2008,11,19.2,80,3,12.8,No,No
5/29/2008,11,18.6,86,3,12.7,No,No
5/30/2008,10.9,21,87,1,12.7,No,No
5/31/2008,10.8,20.1,90,1,11.7,No,No
6/1/2008,11.6,20.5,91,7,14.3,No,Yes
6/2/2008,14.3,17.6,97,8,15.3,Yes,Yes
6/3/2008,15.2,19.1,98,8,15.6,Yes,Yes
6/4/2008,15.5,18.3,87,8,17.5,Yes,Yes
6/5/2008,15.2,16.9,82,7,16,Yes,Yes
6/6/2008,14.7,17.4,81,7,15.1,Yes,No
6/7/2008,11.7,18.2,76,1,13.3,No,Yes
6/8/2008,12.7,17.7,97,8,14.1,Yes,Yes
6/9/2008,13,16.9,96,7,13.9,Yes,Yes
6/10/2008,12.4,19.9,98,7,13.2,Yes,No
6/11/2008,13.2,19.9,74,7,17.3,No,Yes
6/12/2008,13.7,22.1,97,8,14.1,Yes,No
6/13/2008,14,18.8,67,1,16.6,No,No
6/14/2008,9.6,14.6,49,5,11.2,No,No
6/15/2008,10.6,15.3,75,7,13.7,No,Yes
6/16/2008,13.3,16.8,86,6,15,Yes,Yes
6/17/2008,13.1,17.5,88,7,14.2,Yes,No
6/18/2008,13.6,19.4,90,7,14.8,No,No
6/19/2008,12.8,20.3,91,6,13.9,No,Yes
6/20/2008,13.8,17.9,81,7,14.3,Yes,Yes
6/21/2008,11.6,18.5,66,1,13.2,Yes,No
6/22/2008,9.7,17.3,61,1,11.4,No,No
6/23/2008,8.2,17.1,74,1,9.9,No,No
6/24/2008,9.2,19.2,72,1,10.7,No,No
6/25/2008,9.9,19.6,69,1,11.8,No,No
6/26/2008,10.2,20.2,47,0,14.6,No,No
6/27/2008,9.5,19.4,57,0,10.8,No,No
6/28/2008,7.9,18.7,68,1,10.1,No,No
6/29/2008,7.9,21,84,2,9.2,No,No
6/30/2008,9.2,22.1,47,1,13.8,No,No
7/1/2008,10.3,19.6,45,0,13.1,No,No
7/2/2008,10.8,19.2,55,1,14.6,No,No
7/3/2008,9.2,17.9,63,1,10.7,No,Yes
7/4/2008,8.2,15,84,7,9.1,Yes,Yes
7/5/2008,9.1,17.4,78,6,11.3,Yes,No
7/6/2008,8.3,18.4,84,1,9.8,No,No
7/7/2008,9.7,19.8,87,7,11.3,No,No
7/8/2008,10.5,17.2,80,1,12.1,No,No
7/9/2008,6.9,13.3,57,2,9.6,No,Yes
7/10/2008,7.2,15.8,58,7,10.2,Yes,No
7/11/2008,10,16.5,46,1,11.3,No,No
7/12/2008,5.7,15.9,67,4,7.8,No,No
7/13/2008,7.8,17.3,67,8,11.5,No,No
7/14/2008,10.1,23.1,80,7,12,No,No
7/15/2008,9.7,19.8,81,1,11.1,No,No
7/16/2008,8.9,18,81,1,10.8,No,No
7/17/2008,8.2,18.5,84,4,10.1,No,No
7/18/2008,8.2,18.7,73,1,10.1,No,No
7/19/2008,8.1,18.2,53,1,10.9,No,No
7/20/2008,10.8,17.6,41,8,14.6,No,Yes
7/21/2008,10.4,17.5,56,1,13.1,Yes,No
7/22/2008,7.2,15.1,52,0,8.8,No,No
7/23/2008,5.5,14.7,67,6,7,No,Yes
7/24/2008,6.9,15.9,95,8,10.9,Yes,Yes
7/25/2008,9.8,12.7,93,8,10.5,Yes,Yes
7/26/2008,6.2,17,79,1,8.4,Yes,No
7/27/2008,6.3,17.6,71,2,9.1,No,Yes
7/28/2008,7,13.6,79,6,8.4,Yes,Yes
